194,0,0,159,0,0,180,0,0,207,0,0,211,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,238,0,0,180,0,0,203,0,0,176,0,0,187,0,0,183,0,0,176,0,4,191,0,0,181,0,0,236,0,0,255,0,0,237,0,0,255,0,0,255,0,0,255,0,0,237,0,0,255,0,0,255,0,0,230,0,0,255,0,0,255,0,0,231,0,0,194,0,0,191,0,0,176,0,0,113,0,0,170,0,0,189,0,2,191,0,0,236,0,0,238,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,182,0,0,234,0,0,235,0,0,212,0,0,217,0,0,228,0,0,212,0,0,185,0,0,163,0,0,194,0,0,214,0,0,221,0,0,238,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,243,0,0,231,0,0,222,0,0,170,0,0,179,0,0,201,0,0,198,0,0,217,0,0,233,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,219,0,0,223,0,0,226,0,0,194,0,0,217,0,0,158,0,0,190,0,0,197,0,0,240,0,0,235,0,0,255,0,0,255,0,0,224,0,0,255,0,0,232,0,0,218,0,0,229,0,0,212,0,0
211,0,0,164,0,0,193,0,0,207,0,0,211,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,238,0,0,177,0,0,210,0,0,192,0,0,204,0,0,183,0,0,188,0,0,191,0,0,189,0,0,236,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,230,0,0,255,0,0,255,0,0,231,0,0,224,0,0,191,0,0,185,0,0,113,0,0,174,0,0,189,0,2,199,0,0,241,0,0,233,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,219,0,0,241,0,0,242,0,0,212,0,0,217,0,0,228,0,0,212,0,0,197,0,0,163,0,0,198,0,0,217,0,0,226,0,0,233,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,243,0,0,231,0,0,233,0,0,173,0,0,190,0,0,211,0,0,219,0,0,222,0,0,244,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,219,0,0,223,0,0,226,0,0,204,0,0,227,0,0,170,0,0,196,0,0,197,0,0,240,0,0,242,0,0,255,0,0,255,0,0,235,0,0,255,0,0,244,0,0,227,0,0,229,0,0,212,0,0
211,0,0,164,0,0,180,0,0,207,0,0,211,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,238,0,0,173,0,0,200,0,0,188,0,0,200,0,0,191,0,0,194,0,0,191,0,0,189,0,0,236,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,230,0,0,255,0,0,255,0,0,231,0,0,204,0,0,191,0,0,185,0,0,113,0,0,178,0,0,189,0,2,199,0,0,236,0,0,233,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,219,0,0,241,0,0,248,0,0,220,0,0,217,0,0,237,0,0,223,0,0,209,0,0,163,0,0,198,0,0,217,0,0,221,0,0,233,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,243,0,0,236,0,0,227,0,0,180,0,0,190,0,0,208,0,0,215,0,0,217,0,0,238,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,223,0,0,223,0,0,226,0,0,214,0,0,227,0,0,166,0,0,196,0,0,197,0,0,248,0,0,242,0,0,255,0,0,255,0,0,235,0,0,255,0,0,240,0,0,227,0,0,229,0,0,212,0,0
205,0,0,170,0,0,180,0,0,207,0,0,211,0,0,244,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,221,0,0,177,0,0,210,0,0,196,0,0,196,0,0,175,0,0,188,0,0,175,0,0,189,0,0,236,0,0,255,0,0,237,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,230,0,0,255,0,0,255,0,0,231,0,0,204,0,0,181,0,0,185,0,0,128,0,0,166,0,0,185,0,2,195,0,0,232,0,0,233,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,219,0,0,248,0,0,235,0,0,212,0,0,217,0,0,228,0,0,212,0,0,197,0,0,163,0,0,201,0,0,217,0,0,226,0,0,238,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,243,0,0,231,0,0,227,0,0,173,0,0,184,0,0,208,0,0,215,0,0,213,0,0,233,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,235,0,0,207,0,0,219,0,0,204,0,0,217,0,0,166,0,0,193,0,0,197,0,0,240,0,0,242,0,0,255,0,0,255,0,0,235,0,0,250,0,0,232,0,0,227,0,0,216,0,0,212,0,0
211,0,0,227,0,0,243,0,0,221,0,0,237,0,0,244,0,0,243,0,0,243,0,0,242,0,0,241,0,0,255,0,0,242,0,0,242,0,0,242,0,0,255,0,0,241,0,0,238,0,0,248,0,0,252,0,0,238,0,0,251,0,0,239,0,0,231,0,4,239,0,0,239,0,0,236,0,0,232,0,0,246,0,0,245,0,0,245,0,0,255,0,0,237,0,0,255,0,0,255,0,0,255,0,0,245,0,0,255,0,0,255,0,0,235,0,0,244,0,0,220,0,0,227,0,0,234,0,23,238,0,2,239,0,0,250,0,0,249,0,0,240,0,0,244,0,0,248,0,0,238,0,0,240,0,0,240,0,0,242,0,0,241,0,0,219,0,0,227,0,0,242,0,0,241,0,0,242,0,0,255,0,0,255,0,0,232,0,0,230,0,0,233,0,0,245,0,0,235,0,0,246,0,0,250,0,0,242,0,36,255,0,0,242,0,0,247,0,0,219,0,13,249,0,0,246,0,0,255,0,0,245,0,0,244,0,0,219,0,0,212,0,0,236,0,15,231,0,0,230,0,0,233,0,0,245,0,0,249,0,0,239,0,0,241,0,0,231,0,0,228,0,0,245,0,0,227,0,0,255,0,0,248,0,0,255,0,0,255,0,0,223,0,0,240,0,64,224,0,0,240,0,0,216,0,0,255,0,0,246,0,0,204,0,0,245,0,0,247,0,0,236,0,0,242,0,0,255,0,0
211,0,0,232,0,0,243,0,0,227,0,0,246,0,0,244,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,239,0,0,227,0,0,238,0,0,239,0,0,255,0,0,247,0,0,255,0,0,239,0,0,237,0,4,247,0,0,239,0,0,246,0,0,243,0,0,255,0,0,255,0,0,245,0,0,255,0,0,237,0,0,255,0,0,255,0,0,255,0,0,245,0,0,255,0,0,243,0,0,235,0,0,223,0,0,229,0,0,241,0,0,234,0,23,248,0,2,243,0,0,250,0,0,249,0,0,240,0,0,250,0,0,248,0,0,238,0,0,248,0,0,240,0,0,242,0,0,241,0,0,219,0,0,227,0,0,248,0,0,248,0,0,242,0,0,255,0,0,255,0,0,232,0,0,237,0,0,239,0,0,248,0,0,245,0,0,246,0,0,255,0,0,242,0,36,255,0,0,248,0,0,255,0,0,219,0,13,249,0,0,255,0,0,255,0,0,250,0,0,244,0,0,229,0,0,222,0,0,239,0,15,239,0,0,238,0,0,238,0,0,250,0,0,255,0,0,250,0,36,241,0,0,243,0,0,242,0,0,245,0,0,235,0,0,255,0,0,255,0,0,255,0,0,255,0,0,223,0,0,243,0,64,233,0,0,240,0,0,229,0,0,255,0,0,246,0,0,204,0,0,250,0,0,247,0,0,246,0,0,242,0,0,212,0,0
211,0,0,232,0,0,243,0,0,227,0,0,246,0,0,244,0,0,255,0,0,243,0,0,242,0,0,255,0,0,255,0,0,242,0,0,255,0,0,255,0,0,255,0,0,241,0,0,238,0,0,245,0,0,245,0,0,242,0,0,255,0,0,239,0,0,231,0,4,231,0,0,239,0,0,246,0,0,243,0,0,255,0,0,255,0,0,245,0,0,255,0,0,246,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,235,0,0,244,0,0,229,0,0,241,0,0,230,0,23,248,0,2,235,0,0,246,0,0,249,0,0,248,0,0,244,0,0,248,0,0,238,0,0,248,0,0,248,0,0,242,0,0,241,0,0,255,0,0,241,0,0,235,0,0,241,0,0,255,0,0,255,0,0,244,0,0,243,0,0,234,0,0,239,0,0,248,0,0,245,0,0,246,0,0,255,0,0,242,0,0,255,0,0,248,0,0,255,0,0,219,0,13,249,0,0,246,0,0,255,0,0,250,0,0,244,0,0,226,0,0,217,0,0,239,0,15,235,0,0,238,0,0,238,0,0,250,0,0,249,0,0,244,0,0,241,0,0,243,0,0,255,0,0,255,0,0,239,0,0,255,0,0,255,0,0,255,0,0,246,0,0,219,0,0,243,0,64,233,0,0,240,0,0,222,0,0,251,0,0,246,0,0,204,0,0,245,0,0,247,0,0,241,0,0,248,0,0,212,0,0
216,0,0,232,0,0,249,0,0,227,0,0,246,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,241,0,0,238,0,0,245,0,0,241,0,0,247,0,0,255,0,0,239,0,0,243,0,4,239,0,0,239,0,0,255,0,0,243,0,0,255,0,0,255,0,0,245,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,235,0,0,244,0,0,229,0,0,241,0,0,234,0,23,241,0,2,239,0,0,250,0,0,249,0,0,248,0,0,250,0,0,248,0,0,246,0,0,255,0,0,248,0,0,242,0,0,255,0,0,255,0,0,234,0,0,242,0,0,248,0,0,242,0,0,255,0,0,255,0,0,243,0,0,237,0,0,242,0,0,245,0,0,245,0,0,246,0,0,255,0,0,248,0,0,255,0,0,255,0,0,255,0,0,219,0,13,249,0,0,246,0,0,249,0,0,255,0,0,249,0,0,229,0,0,222,0,0,239,0,15,239,0,0,242,0,0,238,0,0,250,0,0,255,0,0,255,0,36,241,0,0,255,0,0,255,0,0,255,0,0,239,0,0,255,0,0,255,0,0,245,0,0,255,0,0,223,0,0,243,0,64,233,0,0,248,0,0,229,0,0,251,0,0,246,0,0,214,0,0,250,0,0,251,0,0,246,0,0,255,0,0,212,0,0
216,0,0,232,0,0,243,0,0,227,0,0,237,0,0,255,0,0,243,0,0,243,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,241,0,0,238,0,0,245,0,0,252,0,0,242,0,0,255,0,0,239,0,0,231,0,4,239,0,0,239,0,0,246,0,0,243,0,0,246,0,0,255,0,0,245,0,0,255,0,0,246,0,0,255,0,0,255,0,0,242,0,0,255,0,0,255,0,0,255,0,0,224,0,0,234,0,0,229,0,0,227,0,0,230,0,23,238,0,2,235,0,0,246,0,0,244,0,0,248,0,0,250,0,0,248,0,0,246,0,0,255,0,0,248,0,0,242,0,0,255,0,0,219,0,0,234,0,0,242,0,0,248,0,0,242,0,0,255,0,0,255,0,0,243,0,0,234,0,0,236,0,0,245,0,0,245,0,0,246,0,0,255,0,0,242,0,0,255,0,0,255,0,0,247,0,0,219,0,13,249,0,0,246,0,0,255,0,0,250,0,0,249,0,0,229,0,0,217,0,0,239,0,0,231,0,0,242,0,0,238,0,0,250,0,0,255,0,0,250,0,0,241,0,0,243,0,0,255,0,0,255,0,0,231,0,0,255,0,0,255,0,0,255,0,0,255,0,0,227,0,0,240,0,64,233,0,0,248,0,0,222,0,0,251,0,0,246,0,0,214,0,0,245,0,0,247,0,0,241,0,0,248,0,0,212,0,0
216,0,0,232,0,0,243,0,0,227,0,0,246,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,241,0,0,238,0,0,242,0,0,252,0,0,247,0,0,255,0,0,239,0,0,231,0,4,231,0,0,239,0,0,255,0,0,243,0,0,255,0,0,255,0,0,245,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,235,0,0,234,0,0,237,0,0,227,0,0,230,0,23,241,0,2,239,0,0,246,0,0,249,0,0,248,0,0,244,0,0,248,0,0,246,0,0,255,0,0,255,0,0,255,0,0,255,0,0,219,0,0,241,0,0,248,0,0,248,0,0,242,0,0,255,0,0,244,0,0,243,0,0,237,0,0,242,0,0,248,0,0,250,0,0,255,0,0,255,0,0,248,0,0,255,0,0,255,0,0,255,0,0,255,0,13,249,0,0,255,0,0,243,0,0,255,0,0,249,0,0,229,0,0,228,0,0,242,0,0,235,0,0,247,0,0,244,0,0,255,0,0,255,0,0,250,0,0,255,0,0,255,0,0,255,0,0,255,0,0,231,0,0,255,0,0,255,0,0,255,0,0,255,0,0,231,0,0,243,0,64,237,0,0,248,0,0,222,0,0,251,0,0,255,0,0,214,0,0,245,0,0,251,0,0,246,0,0,248,0,0,212,0,0
